Id transacción,Comercio Id,Mes Operacion,Estado,Moneda,# Transacciones,Monto Transaccion,Monto Contracargo (Venta)
1257,29,1/7/2021,ERROR,MXN,54,"11,817.01",0
1258,29,1/8/2021,COMPLETED,MXN,"42,128","9,424,509.69","312,336.35"
1259,29,1/8/2021,FAILED,MXN,"39,266","7,737,701.21",0
1260,29,1/8/2021,ERROR,MXN,15,"2,658.95",0
1261,30,1/7/2021,FAILED,MXN,"36,917","73,085,063.52",0
1262,30,1/7/2021,COMPLETED,MXN,"24,636","28,384,151.49","15,524.46"
1263,30,1/7/2021,EXPIRED,MXN,"4,190","7,910,050.94",0
1264,30,1/7/2021,CANCELLED,MXN,"1,551","5,108,261.88",0
1265,30,1/7/2021,ERROR,MXN,191,"326,962.91",0
1266,30,1/7/2021,IN_PROGRESS,MXN,143,"356,737.87",0
1267,30,1/8/2021,FAILED,MXN,"46,288","101,760,924.62",0
1268,30,1/8/2021,COMPLETED,MXN,"28,263","33,005,052.32","18,384.94"
1269,30,1/8/2021,EXPIRED,MXN,"4,356","8,740,126.67",0
1270,30,1/8/2021,CANCELLED,MXN,"2,153","7,651,063.94",0
1271,30,1/8/2021,IN_PROGRESS,MXN,244,"798,238.55",0
1272,30,1/8/2021,ERROR,MXN,34,"38,876.93",0
1273,31,1/7/2021,FAILED,MXN,"45,143","56,351,159.50",0
1274,31,1/7/2021,COMPLETED,MXN,"32,273","28,590,585","935,597"
1275,31,1/7/2021,ERROR,MXN,521,"599,844",0
1276,31,1/8/2021,FAILED,MXN,"42,678","46,805,425",0
1277,31,1/8/2021,COMPLETED,MXN,"25,447","21,145,658","900,856.50"
1278,31,1/8/2021,ERROR,MXN,470,"580,103",0
1279,32,1/7/2021,COMPLETED,MXN,"4,446","1,553,408.58",0
1280,32,1/7/2021,FAILED,MXN,"4,070","1,472,414.49",0
1281,32,1/7/2021,IN_PROGRESS,MXN,"1,268","1,543,183.19",0
1282,32,1/8/2021,IN_PROGRESS,MXN,"133,710","930,216,090.36",0
1283,32,1/8/2021,COMPLETED,MXN,"1,083","417,919.13",0
1284,32,1/8/2021,FAILED,MXN,159,"125,415.07",0
1285,33,1/7/2021,COMPLETED,MXN,"72,289","226,705,365.87",0
1286,33,1/7/2021,FAILED,MXN,557,"1,217,936.66",0
1287,33,1/7/2021,CANCELLED,MXN,41,"83,434.09",0
1288,33,1/8/2021,COMPLETED,MXN,"70,826","221,793,119.41",0
1289,33,1/8/2021,FAILED,MXN,568,"1,304,048.58",0
1290,33,1/8/2021,CANCELLED,MXN,5,"9,001.50",0
1291,34,1/7/2021,COMPLETED,MXN,"39,714","860,666,266.45","129,354.96"
1292,34,1/7/2021,FAILED,MXN,"20,845","765,889,202.57",0
1293,34,1/7/2021,EXPIRED,MXN,"1,220","68,296,212.09",0
1294,34,1/7/2021,ERROR,MXN,232,"5,627,572.96",0
1295,34,1/8/2021,COMPLETED,MXN,"53,122","1,235,608,055.79","213,866.20"
1296,34,1/8/2021,FAILED,MXN,"25,648","967,836,669.39",0
1297,34,1/8/2021,EXPIRED,MXN,"1,383","82,847,872.66",0
1298,34,1/8/2021,ERROR,MXN,29,"718,303.85",0
1299,35,1/7/2021,IN_PROGRESS,MXN,"59,790","495,300,673.97",0
1300,35,1/7/2021,COMPLETED,MXN,367,"2,052,841",0
1301,35,1/7/2021,FAILED,MXN,140,"615,168.51",0
1302,35,1/8/2021,IN_PROGRESS,MXN,"73,807","649,431,425.44",0
1303,35,1/8/2021,COMPLETED,MXN,422,"2,157,473",0
1304,35,1/8/2021,FAILED,MXN,151,"624,787.75",0
1305,36,1/7/2021,COMPLETED,MXN,"60,194","198,661,741.48",0
1306,36,1/7/2021,FAILED,MXN,"4,240","15,025,418.79",0
1307,36,1/7/2021,CANCELLED,MXN,74,"206,588",0
1308,36,1/8/2021,COMPLETED,MXN,"59,997","198,184,124.53",0
1309,36,1/8/2021,FAILED,MXN,530,"1,549,415.90",0
1310,36,1/8/2021,CANCELLED,MXN,2,"10,000",0
1311,37,1/7/2021,COMPLETED,MXN,"33,913","9,611,915.41","16,541.59"
1312,37,1/7/2021,FAILED,MXN,"20,267","8,344,988.85",0
1313,37,1/7/2021,ERROR,MXN,15,"4,330.91",0
1314,37,1/8/2021,COMPLETED,MXN,"36,669","10,371,518.49","15,628.15"
1315,37,1/8/2021,FAILED,MXN,"22,509","9,445,382.39",0
1316,37,1/8/2021,ERROR,MXN,3,897,0
1317,38,1/7/2021,COMPLETED,MXN,"31,719","25,583,304","292,316"
1318,38,1/7/2021,FAILED,MXN,"19,060","18,943,745",0
1319,38,1/7/2021,EXPIRED,MXN,"1,063","857,947",0
1320,38,1/7/2021,IN_PROGRESS,MXN,716,"619,268",0
1321,38,1/7/2021,ERROR,MXN,205,"80,337",0
1322,38,1/8/2021,COMPLETED,MXN,"30,984","24,067,866","169,192"
1323,38,1/8/2021,FAILED,MXN,"24,128","24,394,967",0
1324,38,1/8/2021,EXPIRED,MXN,"1,099","938,700",0
1325,38,1/8/2021,IN_PROGRESS,MXN,785,"590,175",0
1326,38,1/8/2021,ERROR,MXN,36,"29,949",0
1327,39,1/7/2021,COMPLETED,MXN,"21,426","3,934,431.42","49,775.57"
1328,39,1/7/2021,FAILED,MXN,"16,336","3,102,272.06",0
1329,39,1/7/2021,IN_PROGRESS,MXN,"3,017","499,028.39",0
1330,39,1/7/2021,EXPIRED,MXN,"2,366","584,677.78",0
1331,39,1/7/2021,CANCELLED,MXN,"2,175","253,384.20",0
1332,39,1/7/2021,ERROR,MXN,78,"20,743.26",0
1333,39,1/8/2021,COMPLETED,MXN,"23,745","3,983,671.34","73,896.95"
1334,39,1/8/2021,FAILED,MXN,"17,750","3,693,652.27",0
1335,39,1/8/2021,IN_PROGRESS,MXN,"3,945","663,422.38",0
1336,39,1/8/2021,EXPIRED,MXN,"3,075","915,367.11",0
1337,39,1/8/2021,CANCELLED,MXN,"2,273","1,268,604.81",0
1338,39,1/8/2021,ERROR,MXN,31,"9,577.86",0
1339,40,1/7/2021,COMPLETED,MXN,"26,234","4,504,672.34",0
1340,40,1/7/2021,IN_PROGRESS,MXN,"11,332","1,897,482.64",0
1341,40,1/7/2021,FAILED,MXN,"2,406","789,098.60",0
1342,40,1/7/2021,CANCELLED,MXN,"1,413","299,840.86",0
1343,40,1/7/2021,EXPIRED,MXN,416,"175,971",0
1344,40,1/7/2021,ERROR,MXN,39,"12,310",0
1345,40,1/8/2021,COMPLETED,MXN,"30,968","4,774,002.20",0
1346,40,1/8/2021,IN_PROGRESS,MXN,"13,599","2,005,451.20",0
1347,40,1/8/2021,FAILED,MXN,"2,847","817,395.87",0
1348,40,1/8/2021,CANCELLED,MXN,"1,377","276,450.96",0
1349,40,1/8/2021,EXPIRED,MXN,464,"185,579",0
1350,40,1/8/2021,ERROR,MXN,6,"2,769",0
1351,41,1/7/2021,COMPLETED,MXN,"27,542","11,684,631.00","28,844.90"
1352,41,1/7/2021,FAILED,MXN,"9,625","5,285,215.48",0
1353,41,1/7/2021,IN_PROGRESS,MXN,"1,784","781,323.08",0
1354,41,1/7/2021,ERROR,MXN,32,"17,038.10",0
1355,41,1/8/2021,COMPLETED,MXN,"32,685","13,697,916.16","64,140"
1356,41,1/8/2021,FAILED,MXN,"12,172","6,727,960.40",0
1357,41,1/8/2021,IN_PROGRESS,MXN,"1,917","823,552.82",0
1358,41,1/8/2021,ERROR,MXN,6,"5,632",0
1359,42,1/7/2021,IN_PROGRESS,MXN,"25,743","31,310,571.44",0
1360,42,1/7/2021,CANCELLED,MXN,"12,269","14,427,212.97",0
1361,42,1/7/2021,COMPLETED,MXN,"1,919","2,492,236.87",0
1362,42,1/7/2021,FAILED,MXN,986,"1,138,182.82",0
1363,42,1/8/2021,IN_PROGRESS,MXN,"30,268","44,574,855.36",0
1364,42,1/8/2021,CANCELLED,MXN,"10,090","15,100,759.69",0
1365,42,1/8/2021,COMPLETED,MXN,"2,485","3,892,769.36",0
1366,42,1/8/2021,FAILED,MXN,934,"1,360,678.64",0
1367,43,1/7/2021,COMPLETED,MXN,"28,504","66,232,242.46","629,477.08"
1368,43,1/7/2021,FAILED,MXN,"19,243","47,387,234.51",0
1369,43,1/7/2021,CANCELLED,MXN,"1,168","3,224,579.34",0
1370,43,1/7/2021,ERROR,MXN,22,"50,041.96",0
1371,43,1/8/2021,COMPLETED,MXN,"21,243","53,224,090.02","813,961.80"
1372,43,1/8/2021,FAILED,MXN,"12,201","32,425,483.61",0
1373,43,1/8/2021,CANCELLED,MXN,709,"2,153,829.76",0
1374,43,1/8/2021,ERROR,MXN,6,"13,398.63",0
1375,44,1/7/2021,COMPLETED,MXN,"19,901","1,670,813.20","120,136.35"
1376,44,1/7/2021,FAILED,MXN,"18,158","2,357,315.05",0
1377,44,1/7/2021,ERROR,MXN,30,"3,682.60",0
