tx_agg_id,merchant_id,op_month_date,status,cc,tx_cnt,tx_amt,cb_amt,total_terminal_tx_amt,completed_tx_cnt_per,all_statuses_flag
1817,102,2021-07-01,COMPLETED,MXN,5347,39878784.44,0.0,12919153058.399994,0.3978126627483074,0
1818,102,2021-07-01,EXPIRED,MXN,4583,80490652.89,0.0,0.0,0.3978126627483074,0
1819,102,2021-07-01,FAILED,MXN,3258,50005347.3,0.0,9063826205.330002,0.3978126627483074,0
1820,102,2021-07-01,IN_PROGRESS,MXN,232,1280908.72,0.0,0.0,0.3978126627483074,0
1821,102,2021-07-01,ERROR,MXN,21,141928.26,0.0,0.0,0.3978126627483074,0
1822,102,2021-08-01,COMPLETED,MXN,3663,17823499.1,0.0,12919153058.399994,0.44867711905928465,0
1823,102,2021-08-01,EXPIRED,MXN,2466,33638370.07,0.0,0.0,0.44867711905928465,0
1824,102,2021-08-01,FAILED,MXN,1852,21560499.5,0.0,9063826205.330002,0.44867711905928465,0
1825,102,2021-08-01,IN_PROGRESS,MXN,178,1015013.87,0.0,0.0,0.44867711905928465,0
1826,102,2021-08-01,ERROR,MXN,5,27338.22,0.0,0.0,0.44867711905928465,0
1827,103,2021-07-01,COMPLETED,MXN,6951,34596322.84,17354.85,12919153058.399994,0.6713347498551284,1
1828,103,2021-07-01,FAILED,MXN,2457,23441152.67,0.0,9063826205.330002,0.6713347498551284,1
1829,103,2021-07-01,CANCELLED,MXN,596,3704804.04,0.0,0.0,0.6713347498551284,1
1830,103,2021-07-01,IN_PROGRESS,MXN,218,1697155.0,0.0,0.0,0.6713347498551284,1
1831,103,2021-07-01,EXPIRED,MXN,112,992095.92,0.0,0.0,0.6713347498551284,1
1832,103,2021-07-01,ERROR,MXN,18,59453.0,0.0,0.0,0.6713347498551284,1
1833,103,2021-07-01,CHARGE_PENDING,MXN,2,20729.73,0.0,0.0,0.6713347498551284,1
1834,103,2021-08-01,COMPLETED,MXN,7240,37311293.74,2626.76,12919153058.399994,0.6874940651410123,0
1835,103,2021-08-01,FAILED,MXN,2344,20814242.28,0.0,9063826205.330002,0.6874940651410123,0
1836,103,2021-08-01,CANCELLED,MXN,548,3785739.9,0.0,0.0,0.6874940651410123,0
1837,103,2021-08-01,IN_PROGRESS,MXN,297,1897550.68,0.0,0.0,0.6874940651410123,0
1838,103,2021-08-01,EXPIRED,MXN,94,1202226.95,0.0,0.0,0.6874940651410123,0
1839,103,2021-08-01,ERROR,MXN,8,57947.0,0.0,0.0,0.6874940651410123,0
1840,104,2021-07-01,FAILED,MXN,5396,10837817.56,0.0,9063826205.330002,0.4909587492936523,0
1841,104,2021-07-01,COMPLETED,MXN,5213,8833584.38,481040.0,12919153058.399994,0.4909587492936523,0
1842,104,2021-07-01,ERROR,MXN,9,15271.5,0.0,0.0,0.4909587492936523,0
1843,104,2021-08-01,FAILED,MXN,5527,10512964.5,0.0,9063826205.330002,0.458679706601467,0
1844,104,2021-08-01,COMPLETED,MXN,4690,7399167.58,406773.5,12919153058.399994,0.458679706601467,0
1845,104,2021-08-01,ERROR,MXN,8,11868.0,0.0,0.0,0.458679706601467,0
1846,105,2021-07-01,COMPLETED,MXN,8186,855523.1,603.0,12919153058.399994,0.8296341339819601,0
1847,105,2021-07-01,FAILED,MXN,1280,116292.96,0.0,9063826205.330002,0.8296341339819601,0
1848,105,2021-07-01,IN_PROGRESS,MXN,256,39855.0,0.0,0.0,0.8296341339819601,0
1849,105,2021-07-01,CANCELLED,MXN,126,21990.0,0.0,0.0,0.8296341339819601,0
1850,105,2021-07-01,ERROR,MXN,19,2750.0,0.0,0.0,0.8296341339819601,0
1851,105,2021-08-01,COMPLETED,MXN,8732,932226.63,150.0,12919153058.399994,0.8185994187681634,0
1852,105,2021-08-01,FAILED,MXN,1530,174204.0,0.0,9063826205.330002,0.8185994187681634,0
1853,105,2021-08-01,IN_PROGRESS,MXN,315,42010.0,0.0,0.0,0.8185994187681634,0
1854,105,2021-08-01,CANCELLED,MXN,86,13866.0,0.0,0.0,0.8185994187681634,0
1855,105,2021-08-01,ERROR,MXN,4,250.0,0.0,0.0,0.8185994187681634,0
1856,106,2021-07-01,COMPLETED,MXN,10222,65437972.44,0.0,12919153058.399994,0.9961021243422334,0
1857,106,2021-07-01,FAILED,MXN,32,121771.13,0.0,9063826205.330002,0.9961021243422334,0
1858,106,2021-07-01,CANCELLED,MXN,8,18773.0,0.0,0.0,0.9961021243422334,0
1859,106,2021-08-01,COMPLETED,MXN,10258,68426910.46,0.0,12919153058.399994,0.998734300457599,0
1860,106,2021-08-01,FAILED,MXN,13,50991.62,0.0,9063826205.330002,0.998734300457599,0
1861,107,2021-07-01,COMPLETED,MXN,5998,2160265.66,0.0,12919153058.399994,0.6571710310069026,0
1862,107,2021-07-01,FAILED,MXN,1468,527870.64,0.0,9063826205.330002,0.6571710310069026,0
1863,107,2021-07-01,IN_PROGRESS,MXN,1087,390045.72,0.0,0.0,0.6571710310069026,0
1864,107,2021-07-01,CANCELLED,MXN,574,202556.72,0.0,0.0,0.6571710310069026,0
1865,107,2021-08-01,COMPLETED,MXN,7898,2849162.17,0.0,12919153058.399994,0.7241885200806896,0
1866,107,2021-08-01,FAILED,MXN,1100,388602.16,0.0,9063826205.330002,0.7241885200806896,0
1867,107,2021-08-01,CANCELLED,MXN,1093,388006.64,0.0,0.0,0.7241885200806896,0
1868,107,2021-08-01,IN_PROGRESS,MXN,815,307707.34,0.0,0.0,0.7241885200806896,0
1869,108,2021-07-01,COMPLETED,MXN,5069,729911.83,13631.0,12919153058.399994,0.6228803145736053,0
1870,108,2021-07-01,FAILED,MXN,3041,547504.43,0.0,9063826205.330002,0.6228803145736053,0
1871,108,2021-07-01,ERROR,MXN,16,4804.0,0.0,0.0,0.6228803145736053,0
1872,108,2021-07-01,CANCELLED,MXN,12,9803.0,0.0,0.0,0.6228803145736053,0
1873,108,2021-08-01,COMPLETED,MXN,6948,833545.15,8845.0,12919153058.399994,0.6215224975400304,0
1874,108,2021-08-01,FAILED,MXN,4192,632881.85,0.0,9063826205.330002,0.6215224975400304,0
1875,108,2021-08-01,CANCELLED,MXN,26,23886.06,0.0,0.0,0.6215224975400304,0
1876,108,2021-08-01,ERROR,MXN,13,3868.1,0.0,0.0,0.6215224975400304,0
1877,109,2021-07-01,IN_PROGRESS,MXN,8624,9098813.2,0.0,0.0,0.09639929438621977,0
1878,109,2021-07-01,COMPLETED,MXN,929,1154767.5,0.0,12919153058.399994,0.09639929438621977,0
1879,109,2021-07-01,FAILED,MXN,84,95213.5,0.0,9063826205.330002,0.09639929438621977,0
1880,109,2021-08-01,IN_PROGRESS,MXN,8654,11316170.84,0.0,0.0,0.08912748879391223,0
1881,109,2021-08-01,COMPLETED,MXN,855,1031533.5,0.0,12919153058.399994,0.08912748879391223,0
1882,109,2021-08-01,FAILED,MXN,84,90863.2,0.0,9063826205.330002,0.08912748879391223,0
1883,110,2021-07-01,COMPLETED,MXN,7369,3431501.03,8720.0,12919153058.399994,0.7673643653025096,0
1884,110,2021-07-01,FAILED,MXN,1823,931172.28,0.0,9063826205.330002,0.7673643653025096,0
1885,110,2021-07-01,EXPIRED,MXN,308,144131.99,0.0,0.0,0.7673643653025096,0
1886,110,2021-07-01,IN_PROGRESS,MXN,59,74245.0,0.0,0.0,0.7673643653025096,0
1887,110,2021-07-01,ERROR,MXN,39,8508.12,0.0,0.0,0.7673643653025096,0
1888,110,2021-07-01,CANCELLED,MXN,5,1610066.12,0.0,0.0,0.7673643653025096,0
1889,110,2021-08-01,COMPLETED,MXN,7389,4035182.07,0.0,12919153058.399994,0.7821530644649095,0
1890,110,2021-08-01,FAILED,MXN,1749,953196.73,0.0,9063826205.330002,0.7821530644649095,0
1891,110,2021-08-01,EXPIRED,MXN,259,102766.14,0.0,0.0,0.7821530644649095,0
1892,110,2021-08-01,IN_PROGRESS,MXN,38,12106.0,0.0,0.0,0.7821530644649095,0
1893,110,2021-08-01,ERROR,MXN,12,3010.62,0.0,0.0,0.7821530644649095,0
1894,111,2021-07-01,COMPLETED,MXN,7705,1041880.06,800.0,12919153058.399994,0.7370384541802181,0
1895,111,2021-07-01,FAILED,MXN,1866,263038.62,0.0,9063826205.330002,0.7370384541802181,0
1896,111,2021-07-01,IN_PROGRESS,MXN,872,109177.0,0.0,0.0,0.7370384541802181,0
1897,111,2021-07-01,ERROR,MXN,11,1300.0,0.0,0.0,0.7370384541802181,0
1898,111,2021-08-01,COMPLETED,MXN,6427,898957.81,650.0,12919153058.399994,0.7479343651809612,0
1899,111,2021-08-01,FAILED,MXN,1446,212599.06,0.0,9063826205.330002,0.7479343651809612,0
1900,111,2021-08-01,IN_PROGRESS,MXN,717,96796.0,0.0,0.0,0.7479343651809612,0
1901,111,2021-08-01,ERROR,MXN,3,800.0,0.0,0.0,0.7479343651809612,0
1902,112,2021-07-01,COMPLETED,MXN,3846,516090.5,12996.0,12919153058.399994,0.439593096353869,0
1903,112,2021-07-01,FAILED,MXN,3052,607717.0,0.0,9063826205.330002,0.439593096353869,0
1904,112,2021-07-01,CHARGE_PENDING,MXN,1373,186815.0,0.0,0.0,0.439593096353869,0
1905,112,2021-07-01,IN_PROGRESS,MXN,347,52685.0,0.0,0.0,0.439593096353869,0
